West Gas	
Sep 2001 YTD	
By Team	
Originator	Commodity	Team	Revised Total	%Total	Original Total	Variance	
VQ1300.1	7/20/01	PETROGULF	West Gas	FT-Denver	Lucci	  186 	
QN6117.1	1/25/01	Greeley Gas Company	West Gas	FT-Denver	Lucci	  168 	
1019881	8/30/2001	Quantum	West Gas	Denver	Lucci	  99 	
VQ0785.1	7/20/01	CMS	West Gas	FT-Denver	Lucci	  - 0 	
946958	7/26/01	Arkansas River Power Authority	West Gas	FT-Denver	Lucci	  - 0 	
VR4617.1	7/26/01	England Energy	West Gas	FT-Denver	Lucci	  - 0 	
955426	7/31/01	Dominion E&P	West Gas	FT-PGE	Lucci	  - 0 	
955382	7/31/01	Sempra Energy Trading Corp.	West Gas	FT-PGE	Lucci	  - 0 	
954767	7/31/01	BTA Oil Producers	West Gas	GD-NEWJR	Lucci	  - 0 	
VX6954.1	8/22/2001	Western Gas Resources	West Gas	Denver	Lucci	  - 0 	
999838	8/22/2001	Western Gas Resources	West Gas	Denver	Lucci	  - 0 	
VX7586.1	8/22/2001	Sempra Energy Trading	West Gas	WC-CAL	Lucci	  - 0 	
1013549	8/29/2001	Dominion	West Gas	WC-SJ	Lucci	  - 0 	
1020502	8/30/2001	Sinclair Oil	West Gas	Denver	Lucci	  - 0 	
1020494	8/30/2001	Sinclair Oil	West Gas	Denver	Lucci	  - 0 	
1020487	8/30/2001	Retex	West Gas	Denver	Lucci	  - 0 	
Y46745	9/24/01	Phillips	West Gas	Denver	Lucci	  - 0 	
Y43022.1.2	9/25/01	Devon Energy	West Gas	Denver	Lucci	  - 0 	
Y52678	9/26/01	Sinclair Oil	West Gas	Denver	Lucci	  - 0 	
QM9140.1	1/23/01	Dominion Exploration & Production	West Gas	FT-Denver	Lucci	  - 0 	
QN2687	1/24/01	Dynegy Marketing & Trade	West Gas	GD-NEW	Lucci	  - 0 	
QN8798.1	1/26/01	HS Resources Inc.	West Gas	FT-Denver	Lucci	  - 0 	
QN8837.1	1/26/01	Oneok Gas Marketing	West Gas	FT-Denver	Lucci	  - 0 	
QN8840.1	1/26/01	EOG Resources	West Gas	FT-Denver	Lucci	  - 0 	
QN8874.1	1/26/01	Occidentenemar	West Gas	FT-Denver	Lucci	  - 0 	
QN8890.1	1/26/01	Aquila Energy Marketing & trade	West Gas	FT-Denver	Lucci	  - 0 	
QN7581	1/26/01	BP Energy	West Gas	GD-NEW	Lucci	  - 0 	
QN7596	1/26/01	BP Energy	West Gas	GD-NEW	Lucci	  - 0 	
QO0881.1	1/29/01	E-prime	West Gas	FT-Denver	Lucci	  - 0 	
QO2599	1/29/01	PREMIER ENTERPRISES	West Gas	GD-NEW	Lucci	  - 0 	
QO2599	1/29/01	NATIONAL FUESL MARKETING	West Gas	GD-NEW	Lucci	  - 0 	
594762	1/30/01	IM-West	West Gas	FT-Denver	Lucci	  - 0 	
QO5731/594532	1/30/01	Relaint Energy Services, Inc.	West Gas	GD-NEW	Lucci	  - 0 	
QR4490	2/12/01	El Paso	West Gas	GD-NEW	Lucci	  - 0 	
QT5131	2/23/01	Cross Timbers	West Gas	GD-NEW	Lucci	  - 0 	
qy6476	3/20/01	Westport	West Gas	FT-WEST	Lucci	  - 0 	
QY3799	3/22/01	Forrest Oil	West Gas	FT-WEST	Lucci	  - 0 	
QY6470	3/22/01	Forrest Oil	West Gas	FT-West	Lucci	  - 0 	
696668	3/26/01	KN Retail Services	West Gas	FT-Denver	Lucci	  - 0 	
696661	3/26/01	Relex	West Gas	FT-Denver	Lucci	  - 0 	
696772	3/27/01	reliant energy	West Gas	FT-Denver	Lucci	  - 0 	
699927	3/28/01	dominion	West Gas	FT-Denver	Lucci	  - 0 	
69941	3/28/01	duke field services	West Gas	FT-Denver	Lucci	  - 0 	
699400	3/28/01	duke field services	West Gas	FT-Denver	Lucci	  - 0 	
699250	3/28/01	crosstimbers	West Gas	FT-WEST	Lucci	  - 0 	
V40795.1	4/18/01	Western Gas Resources	West Gas	FT-Denver	Lucci	  - 0 	
755904	4/26/01	Dominion E&P	West Gas	GD-NEW	Lucci	  - 0 	
VB4044	5/22/01	Dominion E&P	West Gas	GD-NEW	Lucci	  - 0 	
VB4132	5/22/01	Dominion E&P	West Gas	GD-NEW	Lucci	  - 0 	
803672	5/22/01	Dominion E&P	West Gas	GD-NEW	Lucci	  - 0 	
VB4828	5/23/01	Patina Oil	West Gas	FT-Denver	Lucci	  - 0 	
812680	5/30/01	Kennedy Oil	West Gas	FT-Denver	Lucci	  - 0 	
812687	5/30/01	Kennedy Oil	West Gas	FT-Denver	Lucci	  - 0 	
VF4922	6/7/01	Texaco Natural Gas, Inc.	West Gas	FT-Denver	Lucci	  - 0 	
VF4891	6/7/01	Texaco Natural Gas, Inc.	West Gas	FT-Denver	Lucci	  - 0 	
870876	6/22/01	Dominion E&P	West Gas	FT-Denver	Lucci	  - 0 	
877546	6/25/01	Dominion E&P	West Gas	MGMT-WEST	Lucci	  - 0 	
VJ8803	6/26/01	IM-Mid Central South	West Gas	FT-Denver	Lucci	  - 0 	
VJ9132	6/26/01	Dominion E&P	West Gas	FT-Denver	Lucci	  - 0 	
881445	6/26/01	Dominion E&P	West Gas	FT-Denver	Lucci	  - 0 	
VJ9247	6/26/01	Westport	West Gas	FT-Denver	Lucci	  - 0 	
882391	6/27/01	KN Gas Services	West Gas	FT-Denver	Lucci	  - 0 	
882393	6/27/01	CMS Field Services	West Gas	FT-Denver	Lucci	  - 0 	
885986	6/28/01	Retex	West Gas	FT-Denver	Lucci	  - 0 	
888790	6/28/01	SINCLAIR OIL CO.	West Gas	FT-Denver	Lucci	  - 0 	
888790	6/28/01	SINCLAIR OIL CO.	West Gas	FT-Denver	Lucci	  - 0 	
Lucci Total	  7,003,877 	
